Date,Retweets,Replies,Likes,Quotes,Tweet
2020-11-18T01:16:45.000Z,0,0,0,0,"Best of BS Opinion: No escape from extra borrowing, Covid-19, and more https://t.co/QiQJuT34OM"
2020-11-18T01:16:45.000Z,0,0,0,0,"@realDonaldTrump You fired the guy who said this was the most secure election in US history. Thank you. Now someone can give him a job writing a book about what a whack job you are.
#coronavirus #Covid_19 #"
2020-11-18T01:16:45.000Z,0,0,0,0,"@cafreeland @JustinTrudeau Along with the COVID PCR deception, Trudeau is also leading the military in propaganda experiments by scaring Nova Scotians about packs of wolves...this man is so corrupt and must be stopped...other secrets coming out"
2020-11-18T01:16:45.000Z,0,0,1,0,@abasketballgod arent u and him supposed to be socially distant its covid season
2020-11-18T01:16:45.000Z,0,0,0,0,@AndrewMRossi You just invented Dad COVID jokes
2020-11-18T01:16:45.000Z,0,0,0,0,"Hearing a lot of this... even when seriously sick from COVID, people are still in denial that it’s real. https://t.co/kYfF5J1EPl"
2020-11-18T01:16:45.000Z,0,0,0,0,"Were you enjoying the good economy?  When all the Democrats and establishments efforts against Trump failed, what would they resort to?  Wasn't the timing of Covid a little too convenient for them?  Why was Trump...  https://t.co/CcA1c6mRmv"
2020-11-18T01:16:44.000Z,0,0,0,0,"COVID-19 ups retail giant Walmart's ability to compete in the digital landscape against Amazon, with online sales up almost 80% #IS6621 https://t.co/6JLGAv1PSE"
2020-11-18T01:16:44.000Z,0,0,0,0,not y’all actually saying happy birthday to covid........
2020-11-18T01:16:44.000Z,0,0,0,0,"@HonorDecency He said he had Covid, had top notch care so he could care less about people dying. He’s a worthless piece of shit."
2020-11-18T01:16:44.000Z,0,0,0,0,@megandfigueroa COVID on its own didn’t make things that much worse for me. Stressful and awful but moving in 99x worse (for me)
2020-11-18T01:16:44.000Z,0,0,0,0,"@RealNeilOMahony BMJ - new Covid-19 test, out of 100,000 tests, 630 would test positive only 230 would actually have Covid, so 400 think they have it and isolate. The poor test rate make it unsuitable for the Government's claims, and the test fails to detect half the time.
https://t.co/s7xD8OhQM5"
2020-11-18T01:16:44.000Z,0,0,0,0,"I will say despite covid 2020 was my glow up year. New place ☺️ great job, in school getting my degree and finessing niggas on onlyfans by looking pretty. 🧘🏽‍♀️ lord knows i wanted that unemployment though..."
2020-11-18T01:16:43.000Z,0,0,0,0,"its the fact that alot of these outdoor restaurants look way better then the indoor restaurant 

like maam, covid jus gave ya whole business a face lift"
