ID,Date,Retweets,Replies,Likes,Quotes,Tweet
1329638960059076610,2020-11-20T04:13:26.000Z,0,0,0,0,"@TheNerdAbides @LoLoNikol1 @elonjames You don't seem to understand that 3 million people die each year.  And they are a similar profile to covid. Old. Sick. ""Preventable"" disease.

Relative to living life, it's not that dangerous. https://t.co/5IhLaLXeVd"
1329638959933165569,2020-11-20T04:13:26.000Z,0,0,0,0,@Diminuel It was...so bad? And the makeup for the episodes filmed post covid was...strange? Like really washed out and orang-y?
1329638959685758976,2020-11-20T04:13:26.000Z,0,0,0,0,"Covid symptoms so far (still haven’t tested positive but I’m so sus)
✔️ headaches
✔️ body aches
✔️ fatigue
✔️ nausea 
✔️ lack of appetite 
✔️ unhappy digestive track 🥴
✔️ sporadic cough
✔️ unusually STRONG body odor???"
1329638959492820992,2020-11-20T04:13:26.000Z,0,0,0,0,"@bryceagen @ewolf_7 @JoeBiden Trump causes covid. before Trump no covid, now trump is everywhere and covid is everywhere."
1329638959375208449,2020-11-20T04:13:26.000Z,0,0,0,0,What does ‘build back better’ mean in the context of educating the world’s children post-Covid-19? - Education Development Trust https://t.co/Pfo0kRPxMY
1329638955268993025,2020-11-20T04:13:25.000Z,0,0,0,0,"@DarciSings @Zigmanfreud @GavinNewsom He’s a clown.
Loves how Sweden is handling covid unless we copy any part of it in the US

Equates masks with slavery

Was fooled by Dr. Stella Immanuel &amp; the YouTube doctors https://t.co/KSJwt4Mqx2"
1329638954145034241,2020-11-20T04:13:24.000Z,0,0,0,0,I can actually count on one hand how many times I’ve ordered something online this year. 4. &amp; that is strictly because of covid.
1329638952790319111,2020-11-20T04:13:24.000Z,0,0,0,0,"@Greeneyes0526 @LauriceF Yes, I believe so. I accidentally got on the FB page of a GOP representative and everyone on there was so nasty and defiant about Covid and not listening to their governors restrictions. Also look how Trump is amplifying rage with his tweets and stuff."
1329638949426487296,2020-11-20T04:13:23.000Z,0,0,0,0,"OECD tax plans: failure is not an option The Covid-19 crisis is making progress in the fight for corporate tax justice more difficult, yet more essential. Social #Europe https://t.co/mOc6lRfnfU #EU https://t.co/Juff5XqtwS"
1329639050660114432,2020-11-20T04:13:47.000Z,0,0,0,0,Dr. Fauci says vaccinating people who disregard Covid as ‘fake news’ could be ‘a real problem’ #SmartNews  https://t.co/Ir0sd4vNaC
