created_at,id,text,retweets,replies,likes,quotes,date,time,polarity,subjectivity,filter
2020-11-21 15:20:46+00:00,1330169289119305731,"Every day a new line of BS. Pfizer had to wait until enough people had been 2 months on 2nd dose. Just shut up 

Donald Trump says 'I won, by the way' and lashes out at Pfizer claiming it delayed news of the COVID-19 vaccine until after the election https://t.co/CYP1wpKtfO",0.0,0.0,0.0,0.0,2020-11-21,15:21:00,0.04545454545454545,0.3181818181818182,vaccine
2020-11-21 15:20:43+00:00,1330169275512999936,"Pfizer has filed for an emergency use authorization for its COVID-19 vaccine with the FDA. They expect to distribute 50 million doses in December and up to 1.3 billion doses in 2021.
https://t.co/2I0D2hCkVc",0.0,0.0,0.0,0.0,2020-11-21,15:21:00,0.0,0.0,vaccine
2020-11-21 15:21:08+00:00,1330169379435270146,"🎄

Doodling on 8"" x 10 ✅ ready for a standard frame *get 40% off at Michael's store and it's a beautiful and affordable signed original artwork to display https://t.co/jUkY7upYEC 

#LoveandRedemption
#vaccines ✔ #covid https://t.co/iR2k9gtOZA",0.0,0.0,0.0,0.0,2020-11-21,15:21:00,0.35625,0.5625,vaccine
2020-11-21 15:21:05+00:00,1330169367426949120,The end of COVID-19 vaccine #NewsMediaNest #covid19 #coronavirus #ncov #pandemic #gcq #mgcq #vaccine #immunity #noimmunity https://t.co/B3cdA28Yuc https://t.co/oLZ1sIkHjM,0.0,0.0,0.0,0.0,2020-11-21,15:21:00,0.0,0.0,vaccine
2020-11-21 15:21:35+00:00,1330169493591617538,"Failed GOP candidate who denounced Pete Buttigieg’s “homo-ocracy” gets COVID after claiming immunity ""I can't get it, cause I've talked to God about it, and I've taken my vaccine, and my vaccine is Psalm 91!"" via /r/atheism https://t.co/NUxCna5ZMO #atheist #humanist",0.0,0.0,0.0,0.0,2020-11-21,15:22:00,-0.625,0.3,vaccine
2020-11-21 15:21:34+00:00,1330169489669885975,Geraldo sets liberals off with suggestion Covid-19 vaccine should be named after president — RT USA News https://t.co/ZZW8UYrApp,0.0,0.0,0.0,0.0,2020-11-21,15:22:00,0.0,0.0,vaccine
2020-11-21 15:21:57+00:00,1330169585342046208,Setting our expectations for the COVID vaccine - Columbia Journalism Review - https://t.co/o2a5BSxmv4 via @shareaholic,0.0,0.0,0.0,0.0,2020-11-21,15:22:00,0.0,0.0,vaccine
2020-11-21 15:21:45+00:00,1330169536298033154,Johnson &amp; Johnson pauses Covid-19 vaccine trial as participant becomes ill https://t.co/BOJDMYJ0zK,0.0,0.0,0.0,0.0,2020-11-21,15:22:00,-0.5,1.0,vaccine
2020-11-21 15:21:43+00:00,1330169529998188546,"@ddawnr1 @PostOpinions @asymmetricinfo While politicians focus exclusively on Covid, suicides are up, substance abuse deaths are up, deaths of despair are up, childhood vaccines down, lost business, jobs and livelihoods up, cancer screenings down, other untreated medical conditions up. Much more than an inconvenience",0.0,0.0,0.0,0.0,2020-11-21,15:22:00,0.012777777777777766,0.29055555555555557,vaccine
2020-11-21 15:22:11+00:00,1330169644804661252,"@chick702 @BoKnowsNews @maggieNYT Well I have a very informed opinion on Covid vs school and I don’t sell myself to the country as some leader who can’t control the virus as opposed to Trump’s surrender. Surrender my ass, Trump delivered two vaccines in 9 months &amp; the national distribution preparation.",0.0,0.0,0.0,0.0,2020-11-21,15:22:00,0.2,0.3,vaccine
2020-11-21 15:22:11+00:00,1330169644418797570,Who will get the first COVID-19 vaccine doses? https://t.co/CvE7nzisqp,0.0,0.0,0.0,0.0,2020-11-21,15:22:00,0.25,0.3333333333333333,vaccine
2020-11-21 15:22:06+00:00,1330169624281960449,Dr. Saridakis explains...The spike proteins of the Covid-19 virus are it’s super power...and it’s Achilles heel! The vaccine will work like gum  on a key so the virus key 🔑 can’t get in our cell’s lock!l. 🔒   #YorkCircle @YUResearch @YorkUScience https://t.co/yjRBiXiMy2,0.0,0.0,0.0,0.0,2020-11-21,15:22:00,0.13888888888888887,0.8888888888888888,vaccine
2020-11-21 15:22:06+00:00,1330169622599962629,This is not COVID. This is vaccine damage. https://t.co/kJAdDnC8tq,0.0,0.0,0.0,0.0,2020-11-21,15:22:00,0.0,0.0,vaccine
2020-11-21 15:22:35+00:00,1330169745136553987,Coronavirus Vaccine Update: China made Covid 19 super vaccine No one in 10 lakh people had side effects https://t.co/7uiRZPYf2e,0.0,0.0,0.0,0.0,2020-11-21,15:23:00,0.3333333333333333,0.6666666666666666,vaccine
2020-11-21 15:22:34+00:00,1330169743425335306,"Some people think there's gonna be some micochip implant in COVID vaccine. Believe me if they wanted to chip people or wanted to track you, they would have done it already.",0.0,0.0,1.0,0.0,2020-11-21,15:23:00,0.0,0.0,vaccine
2020-11-21 15:22:32+00:00,1330169734848008193,via @PerilofAfrica G20 to discuss COVID-19 vaccine access for low-income countries: Leaders of the G20 countries will debate this weekend how to deal with the unprecedented COVID-19 pandemic that has caused a global recession and how to manage the… https://t.co/9EbYAOm4Ae https://t.co/UJBIkG3Ujf,0.0,0.0,0.0,0.0,2020-11-21,15:23:00,0.3,0.45,vaccine
2020-11-21 15:22:32+00:00,1330169732998291456,"@brodydales @jonovision_man Meant covid ... sorry. Yeah , well now the flu is gone and nobody is talking about the flu vaccine shortage again. Haha it’s malls this week",0.0,0.0,0.0,0.0,2020-11-21,15:23:00,-0.15,0.65,vaccine
2020-11-21 15:22:29+00:00,1330169719920398336,@rolandsmartin @GeraldoRivera He wants to honor the man that got 250K killed at the hands of COVID by naming the vaccine after him? What?! https://t.co/cWX8RdVUZU,0.0,0.0,0.0,0.0,2020-11-21,15:22:00,-0.024999999999999994,0.05,vaccine
