,date,processed_text,tone,score,latitude,longitude,hashtags,place,id
3262,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.780751,-73.977182,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1264257260219482112
3263,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.748181,-73.988421,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1266144768800718848
3264,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.746179999999995,-73.97759,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1266136271849689089
3265,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.826201,-73.94879,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1266139106133803009
3266,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.780751,-73.977182,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1266141938501156866
3267,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.780751,-73.977182,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1266147657451556865
3268,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.780751,-73.977182,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1266161815299465216
3269,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.780751,-73.977182,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1266158984110768129
3270,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.751656,-73.97516,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1266156153261752320
3271,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.780751,-73.977182,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1266150488946495491
3272,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.780751,-73.977182,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1266153321120874496
3273,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,34.042912,-118.25193,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Los Angeles, CA",1266167482097770496
3274,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.75945,-73.715016,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Queens, NY",1266164649331998723
3275,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.826201,-73.94879,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1267185403796299776
3276,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.780751,-73.977182,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1267193906069987328
